code,name,name_short,name_tv,gender,function,country_code,country_full,nationality_full,nationality_code,height,weight,Disciplines_1,birth_date,Age
1563553,TORO SOLER Ariane,TORO SOLER A,Ariane TORO SOLER,Female,Athlete,ESP,Spain,Spain,ESP,0,0,Judo,10-07-2003,21
1563554,TSUNODA ROUSTANT Ai,TSUNODA ROUSTANT A,Ai TSUNODA ROUSTANT,Female,Athlete,ESP,Spain,Spain,ESP,0,0,Judo,19-04-2002,22
1563574,KUCERA Kamil,KUCERA K,Kamil KUCERA,Male,Athlete,CZE,Czechia,Czechia,CZE,0,0,Weightlifting,19-03-1985,39
1563605,MILADINOV Josif,MILADINOV J,Josif MILADINOV,Male,Athlete,BUL,Bulgaria,Bulgaria,BUL,0,0,Swimming,23-06-2003,21
1563607,EPITROPOV Lyubomir,EPITROPOV L,Lyubomir EPITROPOV,Male,Athlete,BUL,Bulgaria,Bulgaria,BUL,0,0,Swimming,27-04-1999,25
1563610,SILVA Djamila,SILVA D,Djamila SILVA,Female,Athlete,CPV,Cabo Verde,Cabo Verde,CPV,0,0,Judo,13-08-1996,28
1563611,GEORGIEVA Gabriela,GEORGIEVA G,Gabriela GEORGIEVA,Female,Athlete,BUL,Bulgaria,Bulgaria,BUL,0,0,Swimming,16-06-1997,27
1563618,ALVARES de OLIVEIRA Victor,ALVARES de OLIVEI,Victor ALVARES de OLIVEIRA,Male,Athlete,CPV,Cabo Verde,Cabo Verde,CPV,0,0,Fencing,25-08-1996,28
1563633,ACHA GONZALEZ Pablo,ACHA GONZALEZ P,Pablo ACHA GONZALEZ,Male,Athlete,ESP,Spain,Spain,ESP,0,0,Archery,04-08-1996,28
1563638,CANALES Elia,CANALES E,Elia CANALES,Female,Athlete,ESP,Spain,Spain,ESP,0,0,Archery,25-06-2001,23
1563667,PINA Jayla,PINA J,Jayla PINA,Female,Athlete,CPV,Cabo Verde,Cabo Verde,CPV,0,0,Swimming,23-07-2004,20
1563670,MOREIRA Ivanusa,MOREIRA I,Ivanusa MOREIRA,Female,Athlete,CPV,Cabo Verde,Cabo Verde,CPV,178,0,Boxing,11-11-1988,35
1563681,SORRIBES TORMO Sara,SORRIBES TORMO S,Sara SORRIBES TORMO,Female,Athlete,ESP,Spain,Spain,ESP,176,0,Tennis,08-10-1996,27
1563682,ALCARAZ Carlos,ALCARAZ C,Carlos ALCARAZ,Male,Athlete,ESP,Spain,Spain,ESP,183,0,Tennis,05-05-2003,21
1563687,BUCSA Cristina,BUCSA C,Cristina BUCSA,Female,Athlete,ESP,Spain,Spain,ESP,176,0,Tennis,01-01-1998,26
1563689,CARRENO BUSTA Pablo,CARRENO BUSTA P,Pablo CARRENO BUSTA,Male,Athlete,ESP,Spain,Spain,ESP,188,0,Tennis,12-07-1991,33
